,Asset Name,Main Category,Date,Bell Labs People,Keywords,,,,,,Description
1,5ESS Lab,Networks,4-1989,NA,5ESS,Indian Hills,digital switch,ISDN,Network Management,Switching,"View of 5ESS Systems Laboratory in atrium at Indian Hill. The 5ESS digital switch shown here is configured to provide research and development capabilities for computer scientists and engineers working on new ISDN features. Located in an atrium at AT&T Bell Laboratories Indian Hill facilities, the switch is used 24 hours per day, seven days per week, to test new generics and programs under the aegis of the 5ESS Switch System Laboratories Department"
2,5ess close,Networks,1987,NA,5ESS,"Seneca, Ill.",digital switch,"Cedarville, Oh",ISDN,Switching,"AT&T's 5ESS system, the most advance local digital switch, has the ability to grow or shrink to meet the changing needs of today. The first 5ESS went into service in Seneca, Ill., Cedarville , Ohio, in 1982."
3,91-12214  Telephotog Sending Unit,Networks,1925,NA,Transmitting unit,Telephotograph,facsimile,telephotography,light valve,,Telephotography - Transmitting unit of 1925 Telephotograph Equipment -
4,91-12217 Telephotog Rec Unit,Networks,1925,NA,Receving Unit,Telephotograph,facsimile,telephotography,,, Telephotography - Receiving Unit of 1925 Telephotograph Equipment -
5,86-0300097,MULTI-MEDIA,1926,NA,Acoustical Research,Sound Recording,Motion Pictures,Western Electric,Vitaphone,sound motion pictures/ Acoustics,"From the Western Electric Company News, June, 1926: ""This projection machine gives a motion picture audience both visual and audible entertainment. It is part of a new system announced as perfected by the Western Electric Company and Warner Brothers Pictures Inc., by means of which complete musical programs, played by the world's greatest musical organizations, will be available in any moving picture theater. Absolute synchronization of films with reproduced sound having a naturalness never before attained is accomplished by the new system. The projector is no more complicated from the standpoint of operation than an ordinary moving picture projector. No special skill is required of the operator. If the film breaks, there is no interference with the accuracy of synchronization. A remarkable new electric reproducer is embodied in this part of the equipment."
6,86-300168,MULTI-MEDIA,9715,NA,syncronized sound,Warner Brothers,Western Electric,Motion Pictures,first full length,John Barrymore/ Don Juan,"Vitaphone opening at Warner's theatre, August 6, 1926. First installation of Western Electric sound motion picture system"
7,ITEMdeliver1,MULTI-MEDIA,9710,NA,Don Juan,Warner Theater,Vitaphone,sound motion picture,,acoustics,The Warner Theatre as it appeared in August 1926.
8,Two Engineers,MULTI-MEDIA,9618,H.M. Stroller (L) and H. Pfannenstiehl ®,acoustical research,vitaphone,sound motion pictures,,synchronized sound,,"H.M. Stoller (left) and H. Pfannenstiehl with the first commercial model of the disc record attachment for the motion picture projection machines. Stoller and Pfannenstiehl, who with their groups were responsible, respectively, for the motor and its control and for mechanical design of the turntable gears and other parts. Two men standing in a room with machinery behind them."
9,Vitaphone,MULTI-MEDIA,na,NA,vitaphone,Don Juan,John Barrymore,sound motion pictures,,synchronized sound,Films-Movies-Theaters: Vitaphone Productions.
10,86-301682 - Davisson Germer,Physics,1927,C.J. Davisson and L.H. Germer,Wave Nature of Matter,Electron Diffraction,Tube,,,,C.J. Davisson and L.H. Germer with tube used in electron diffraction work.
11,97-6401 Transistor,Physics,1997,NA,transistor,50 years old,Microelectronics,Nobel Prize,,,Photograph of the first transistor. Invented in 1947.
12,86301665,Physics,1948,"Dr. John Bardeen (L), Dr. Walter H, Brattainm (R), Dr. William Shockley (Seated)",transistor,First Transistor,Microelectronics,Nobel Prize,,,"With this apparatus at Bell Telephone Laboratories, some of the first investigations leading to the discovery of the transistor were made. Seated is Dr. William Shockley, who initiated and directed the Laboratories transistor research program. Standing are Dr. John Bardeen, left, and Dr. Walter H. Brattain, key scientists in bringing the invention to reality. The transistors potentialities are such that Bell scientists and engineers expect it may have far reaching significance in the field of electronics and electrical communication. It has been shown to produce amplification as high as 100 to 1. Some test models have been operated as amplifiers at frequencies up to 10 million cycles per second."
13,transistors inventors,Physics,1948,"Dr. John Bardeen (L), Dr. Walter H, Brattainm (R), Dr. William Shockley (Seated)",transistor,,,,,," Bell Laboratories- Drs. John Bardeen, William Shockley and Walter H. Brattain, shown at Bell Telephone Laboratories in 1948 with apparatus used in first investigations that led to the invention of the transistor. The trio received the 1956 Nobel Physics award for their invention of the transistor, which was announced by Bell Laboratories in 1948."
14,89-13568 Airplane Pilots,WIRELESS,1917,,Radio Telephony,Air to Ground,,,,,"Radio Telephony - Airplane. Airplane equipped with radio telephone, showing the aviators' sound proof helmets and transmitters."
15,Claude Shannon at blackboard,Mathematics,1955,Claud Shannon,Information Theory,,,,,,"Claude Shannon, the originator of information theory, at the board and dave hagelbarger work out some equations needed. their current projects include work on automata advanced type of computing machines which are able to perform various thought functions"
16,Claude Shannon,Mathematics,1952,Claude Shannon,Information Theory,›,mouse,computer learning,,,"In 1952 claude e. shannon of bell laboratories devised an experiment to illustrate the capabilities of tel relays. Here an electrical mouse finds its way unerringly through a maze, guided by information remembered in the kind of switching relays used in dial telephone systems. Experiments with the mouse helped stimulate Bell Labs researchers to think of new ways to use the logical powers of computers for operations other than numerical calculation mouse in maze electronic mouse"
17,Graphic Representation,Mathematics,1967,Claude Shannon,transmitter,receiver,communication,economics,mathematics,statistics,Information theory deals with the sources and destinations transmitters and-receivers and channels of communications. since it was expounded 20 years ago information theory has become a vital tool in the planning and evalutation of communication systems. of particular importance is the concept of the binary digit or bit (o or 1 for example) as the fundamental unit of information. The mathematical tools of information theory have proved invaluable to the designer of communication systems
18,Staged Photo Telstar,Wireless,1961,NA,Telstar,Satellite,Telstar I,Model,solar cells,"Holmdel, NJ ","Bell Telephone Laboratories technicians prepare a developmental model of a Bell System active communication satellite for special radio measurements. The 34 inch sphere is scheduled for launch into orbit next spring. It will be used for Bell System experiments in the relaying of telephone calls, television signals and other communication overseas. Arrays of solar cells, used to convert sunlight into electricity, cover most of the surface. Microwave radio receiving and transmitting antennas from the belt around the middle of the satellite. The satellite is shown in a special laboratory at Holmdel, New Jersey, that simulates the radio environment of space. Loren L. Dale, left, and W. David Baker prepare the satellite for measurement of antenna characteristics"
19,86-302634 - Telstar Mount,Wireless,1962,NA,Telstar,Satellite,Telstar 1,Solar Cells,,,"Mounting Bell Laboratories 170 pound Telstar I Satellite to a Thor-Delta rocket for its journey into orbit in 1962. Telstar I demonstrated the feasibility of relaying telephone calls, television and data across oceans and continents by an orbiting satellite. A great many Bell Laboratories achievements, including the transistor and the solar battery made satellite communications possible"
20,ITEMdeliver[5],Wireless,1961,,Telstar,Microwave,Satellite,Space,Telstar One,,"The Telstar II communications satellite. Built by Bell Telephone Laboratories, the satellite weighs 175 pounds and has a diameter of 34-1/2 inches. There are 3600 solar cells on its surface. The two rows of microwave antennas around the center receive signals sent up to the satellite and relay them back to earth. On the panel at left center, just below the microwave antennas, is a radiation measuring device. An electron detector, it measured electrons in the range of 750,00 to two million electron volts. Telstar ii was launched from Cape Canaveral by the National Aeronautics and Space Administration for the American Telephone and Telegraph Company. All tracking and launching expenses, including the cost of the Delta launch vehicle were paid by AT&T."
21,86-302667 Telstar,Wireless,1962,,Telstar One,Satellite,Solar Cells,Microwave,television,,
22,Another Antenna Shot,Wireless,1962,NA,Telstar,Satellite,Telstar I ,Earth Station, ,,"Huge steerable dish aerial of the United Kingdom Satellite Communications ground station at Goonhilly Downs, Cornwall, England. About 85 feet in diameter it will be used to receive signals from two experimental communications satellites to be launched by the American National Aeronautics and Space Administration during this year. The same aerial will also be used for transmitting to the satellites. The rotating part of the aerial weights more than 800 tons and is driven by electric motors of some 100 horsepower"
23,Gound Station,Wireless,1962,,Telstar,Satellite,Ground Station,Microwave,,,Horizontal artist's drawing of the Bell System's of earth station for satellite communications.
24,Horn Antenna Maine,Wireless,1962,,Telstar,Horn Antenna,Microwave,Ground  Station,,,"Description: Artist's drawing of Bell System's earth station for satellite communications at Andover, Maine. Station will be used for communications experiments with Bell System's Telstar satellite. Building in lower foreground contains control equipment for acquiring, tracking and communicating with satellite, as well as monitoring its performance. Antenna at right, will receive tracking signals and telemetry data from satellite on frequency of 136 mc: it will send commands to Telstar on 120 mc, and also will point precision tracking antenna lower left at satellite. precision antenna will guide large horn onto satellite, and auto track unit will keep horn positioned to within 1/20th of a degree of satellite. Communications up to Telstar will be on frequency of 6390 mc; satellite will transmit on 4170 mc. Antenna 11,000 mc. on to of control building, will connect satellite station with Bell System's nationwide communications network."
25,86-302534 Andover Antenna,Wireless,1962,NA,Horn Antenna,Andover,Maine,Telstar,space radio,Earth Station,"Hugh horn antenna recently completed at Andover, Maine, for the Bell System's Project Telstar, points upward as though tracking the Telstar satellite. Bell Laboratories engineers will carry out experiments in broadband communications by way of the satellite, scheduled for launching this spring. The horn will both transmit signals to and receive signals from the satellite a space radio relay tower. Workman standing on the framework reveals size of the 177 foot long structure"
26,89-11890,Wireless,1966,NA,Satellite,Telstar I,Earth Station,Andover,,,"Artist's drawing of Bell System's earth station for satellite communications at Andover, Maine. Station will be used for communications experiments with Bell System's Telstar satellite. Building in lower foreground contains control equipment for acquiring, tracking and communicating with satellite, as well as monitoring its performance. Antenna at right, will receive tracking signals and telemetry data from satellite on frequency of 136 mc: it will send commands to Telstar on 120 mc, and also will point precision tracking antenna lower left at satellite. precision antenna will guide large horn onto satellite, and auto track unit will keep horn positioned to within 1/20th of a degree of satellite. Communications up to Telstar will be on frequency of 6390 mc; satellite will transmit on 4170 mc. Antenna 11,000 mc. on to of control building, will connect satellite station with Bell System's nationwide communications network"
27,Telstar Antenna Recieving station,Wireless,1962,,Satellite,Telstar,Telstar I Model,Earth Station,,,"Earth Station - Foreign - Telstar Satellite Station at Goonhilly, England."
28,Telstar Cut Away,Wireless,1962,NA,Telstar,Satellite,Telstar I Model,Telstar Satellite,,,Cut away view Telstar Satellite
29,Telstar Launch,Wireless,22837,NA,Telstar ,Satellite,Telstar I,Launch,NASSA,Delta Launch ,"Delta Launch vehicle lifts the first active repeater communication satellite 'Telstar' on its way into space, July 10,1962. The 34-inch, 170-pound satellite is in its orbits path. Telstar the first privately owned satellite by AT&T was launched by Nassa at a cost of three million dollars which AT&T paid"
30,86-301096Touch-Tone,Multi-Media ,1964,,Touch-Tone,10 Button,,,,,1960s early 10 button Touch-Tone telephone
31,88-201833,Physics,24047,"Dr. Robert Wilson, Dr. Arno A Penzias",Satellite,Space,Nobel Prize,horn antenna,Holmdel,Project Echo - Telstar New Jersey,"Drs. Robert Wilson and Arno A. Penzias with Bell Telephone Laboratories horn antenna located at Holmdel, New Jersey, which was employed on Project Echo and Telestar experiments. horn antenna radio astronom"
32,86-302022-lightwave installation,Optical,,Chicago,Fiber Optci Cable,,,,,," Under the Loop. During installation, half inch cable for Chicago lightwave communications system went from reel into protective plastic tube, then underground beneath Chicagos Loop. The cable, containing 24 glass fiber lightguides, is now carrying customers voice, data and video signals in pulses of light, in year long Bell System evaluation of new transmission systems."
33,86-302019 - Chicago Lightwave Diagram,Optical,1077,,Lightwave,Fober optics,Laser,Chicago,,,Horizontal photo has Chicago lightwave communications project written on top of it. Different pictures on the photo.
34,WARNING! THIS IS NOT STEVEN CHU,Physics,1988,Arthur Ashkin,atom trapping,research,,,,,"Equipment in Franklin Central Office shows patch panels, slc 40 bay, m13 multiplex bay, lightwave equipment bay and test equipment bay. Picturephone meeting sevice room in Illonois Bell Headquarters. Loop of lightquide being pulled into manhole."
35,90-10261 try,Optical,1988,,Transatlantic Cable,Lightwave,TAT-8,Fiber Optic,Undersea Cable,Long Lines Cable Ship,"C.S. LONG LINES laying cable in the Atlantic. Off the coast of Beach Haven, New Jersey"
36,90-12066,Optical,›,,Transatlantic Cable,Lightwave,TAT-8,Fiber Optic,Undersea Cable,Long Lines Cable Ship,Cable Ship - LONG LINES - Atlantic Ocean - 1965
37,88-200584 - Art Larynx,Medical Technologies,1929,NA,Artificial Larynx,speech,Boettinger Book,larynx,,1920s mechanical artificial larynx.,
38,Developers new,Medical Technologies,1959,"H. L. Barney (R), H. K. Dunn",Artificial Larynx,larynx,,,,,"With device pressed against his throat and finger working the pitch inflection control, H.L. Barney, right, uses the electronic artificial larynx to converse with H.K. Dunn. Both men are with Bell Telephone Laboratories. They played important roles in development of the device"
39,MAn use,Medical Technologies,1960,NA,Artificial Larynx,speech,telephone,larynx,,,"A New Voice for Those Who Can't Speak - This man is using the Bell System's Western Electric electronic larynx, No. 5 Type, which is being introduced by the Bell Telephone System"
40,Newer,Medical Technologies,1959,DJ Maclean,artificial larynx,speech,larynx,telephone,,,": The electonic artificial larynx is especially effective when speaking over the telephone as demonstrated by BTL DJ Maclean, one of the developers. The ac power supply on the desk is for use in the office or at home to consere the self contained mercury batteries that normally power the electronic larynx."
41,Woman use ,Medical Technologies,1968,NA,artificial larynx,speech,,,,,Artificial Larynx in use.
42,Dennis ritchie,Computing,,Dennis Ritchie,Unix,C Language,Saoftware,Computing,,,Dennis Ritchie Portrait
43,BJARN,Computing,1992,Bjarn Stroustrup,C++,Computer Language,Software,,,,
44,Digital Celular,Wireless,1988,Bob Myer,linearnizer technique,radio,cellular,bailey,Radio Systems Design Group,Digital Suscriber Channel Whippany,"Bandwidth in the radio broadcast spectrum is a scarce commodity, and cellular radio telephone service is rapidly devouring the amount of Bandwidth the FCC has given it. One solution : Digital Subscriber Channel, DSC, technology developed by the cellular Telecommunications Laboratory at Whippany, to squeeze more calls into the bandwidth that is available. "
45,BAbe Ruth FAX,MULTI-MEDIA,1925,,Babe Ruth,100 line,telephotograph,,,,This is a very early 100 line picture (telephotograph
46,FAX 2,MULTI-MEDIA,NA,NA,receiving ,trelephotograph,1925,,,,
47,FAX machine 1,MULTI-MEDIA,NA,NA,transmitting,telephotograph,1925,,,,
48,mathematical Illus of Quantim Hall effect,Physics,,,Fractional Quantum Hall Effect,,Nobel Prize,,,,Artist rendition showing the Fractional Quantum Hall effect
49,MRI,Mathematics,1992,NA,conventional MRI,MRI,fMRI,functional MRI,,,"The conventional MRI image on the left shows only the anatomy of the brain -- specifically, the rear portion of the brain showing the primary visual cortex. The image on the right, produced by researchers at AT&T Bell Laboratories and the University of Minnesota using a new process, also shows (in color) mental activity within the brain at the time of the scan. In this case, the subject is looking at a flashing light."
50,HDTV1,MULTI-MEDIA,,NA,progressive scan lines,HDTV,High Definition,Televison,interlace,Murray Hill,"This photo graphically illustrates the difference in picture quality between the progressive scanning technology of HDTV on the left, and the interlace technology now used by conventional TV. The scene is part of a computer graphics program created at AT&T Bell Laboratories in Murray Hill, N.J."
51,HDTV,MULTI-MEDIA,1991,Kim Matthews,Digital Spectrum ,High Definition,HDTV,Television,,,"Kim Mathews, an HDTV researcher at AT&T Bell Laboratories, uses a computer-generated synthesized video image to challenge the Digital Spectrum Compatible system with very complex motion simulations"
52,First Hearing Aid- 10A Audiophone 1923 W3079,MULTI-MEDIA,1923,NA,Hearing Aid,10A audiophone,Western Electric,,,,
53,Lambda mirror,Optical,2000,,Wavestar,Lambda Router,lightwave,optical fiber,mirror,microscopic,
54,86301921,Optical,1960,Charles Townes,Laser,Maser,Nobel Prize,Arthur Schawlow,,,"Left, A L Schawlow adjusts a ruby optical maser during an experiment at Bell Labs, Physical experiments on the optical maser are reported in the current issue of Physical Review Letter by Schawlow and C G B Garrett with coauthors R J Collins, D F Nelson, W L Bond and W K Kaiser,1960. Right, Dr C H Townes with a ruby maser amplifier for radio astronomy. The cylindrical tube is a Dewar for liquid helium in which the maser is immersed. The entire apparatus was mounted at the focus of the 50 parabolic dish at the Naval Research Laboratory, and represented the first successful use of masers for radio astronomical work."
55,ITEMdeliver[1],Optical,1965,Kumar Petel,Laser,Co2 Laser,Carbon Dioxide Laser,,,,C K N Patel of Bell Labs demonstrates a gas laaser he developed using carbon dioxide. This laser can reveal the inner world of semiconductors.
56,MOSEFT,Physics,1959,"M. M. Atalia, D. Kahng, E. Labate",Mosfet transistor,transistor,Murray Hill,New Jersey,,,"The first Mosfet Transistor M. M. Atalla D. Kahng and E. Labate December 19, 1959. A Bell System invention From Bell Laboratories in Murray Hill, New Jersey"
57,smallest_trans_1,Physics,1997,,transistor,mircotransistor,Murray Hill,New Jersey,Lucent Technologies,,nanoelectronics world's smallest transistor
58,smallest_trnas_2,Physics,1997,,transistor,mircotransistor,Murray Hill,New Jersey,Lucent Technologies,,nanoelectronics world's smallest  transistor
59,Johnson,Transmission of image,1964,,picturephone,Lyndon B. Johnson,Dr. Elizabeth Wood,"Washington, DC",Robert F. Wagner,,
60,Picturephone desk,Multi-Media ,1964,NA,picutrephone,touch tone,speakerphone,handsfree,,,"The experimental picturephone system has modern touch tone control console with buttons to make calls and to control the video screen. A person using the new system can control whether he wants to see or the other person, or whether he wants a darken screen. he makes a call using the new touch tone calling system. and he can use the familiar handset or the hands free speakerphone service."
61,88-200875,Multi-Media ,1964,"L. H. Meacham (desk), A.D. Hall (phone)",PicturePhone,"Holmdel, NJ",visual telephone,,,,L.h. meacham at his desk at bell telephone laboratories in holmdel new jersey talks with a.d. hall on the experimental picturephone. Both engineers helped develope the visual telephone system. Mr. meacham is using the hands free speakerphone while mr. hall at the murray hill new jersey laboratories uses the familiar handset for the call. customer service picturephone
62,Worlds Fair,MULTI-MEDIA,1964,NA,World's Fair,picturephone,New York,,,,"1964 The first public exposure of picturephone service was made at the new york world's fair. Visitors, selected at random, tried the service for about 10 minutes each. Results of ilnterviews conducted at the conclusion of each trial provided valuable information on early reactions to the service. world fair 1964 first pitcurephone"
63,86-300430,Physics,1979,Dr. Phillip W. Anderson,Nobel Prize,Physics,Murray Hill,New Jersey,,,"prize in physics 1977 Dr Philip W Anderson one of three recipients of the 1977 nobel prize for physics in his office at-Bell Laboratories in Murray Hill N J.Anderson is the fifth Bell Labs scientist to win the Nobel Physics Prize The others were: Clinton J. Davisson for the ""wave of matter"" in 1937, and John Bardeen, Walter Brattain and William Shockley for the transistor in 1956."
64,1939 RADAR,Networks,1939,"H. Bud Fischer, Deloss K .Martin, and James D. Sarros ",directional waveguide antenna,radio waves,radar,defense,high freqency,waves,"In 1939, bell laboratories engineers, using directional waveguide antennas bounced radio waves off ships in New Yorks-upper bay and received the reflections. This technique was first discovered by british scientists and eventually became known as radar the labor atories experiments were one phase of a broad research effort to un derstand high frequency waves in world war ii this research enabled bell laboratories to make pioneering contributions to the war effort."
65,86-302713 Jansky,Physics,1933,Karl Jansky,Radio ,Antenna,Milky Way,Radio Astronomy,,,Historic photo of the late Karl g. Jansky of Bell Telephone Laboratories with the rotating antenna he used to discover radio waves coming from space. Mr. Jansky's investigations during the 1930's into the causes of strange noise in telephone equipment resulted in the discovery of radiation noise from the center of the Milky Way and gave the world a new science radio astronomy. 
66,91-12695 Jansky,Physics,1933,Karl Jansky,Radio ,Antenna,Milky Way,Radio Astronomy,,,"Satellite Intelsat - Radio Astronomy - The late Karl Jansky of Bell Telephone Laboratories is shown pointing to the position on a chart where radio noises from space were first heard. While attempting to pinpoint the source of noise interfering with radiotelephone service, Jansky detected a peculiar hissing sound coming from the area of the Milky Way. Later this hissing was identified as radio signals generated by the natural processes in stars and galaxies. His work resulted in the new science of radio astronomy, in which the heavens are studied by listening to radio waves rather than looking through an optical telescope."
67,86-301769 Solar Ferris Wheel,Optical,1954,"Gerald Pearson,  Daryl Chapin, Calvin Fuller",Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,"A toy ferris wheel receives its power from light falling on a tiny piece of silicon. The wheel was used by Bell Laboratories to demonstrate the Bell solar battery first successful device to convert useful amounts of the suns energy directly and efficiently into electricity. The device, made from silicon, one of the worlds most abundant elements, is a wafer thin strip resembling an ordinary razor blade. Electrically linked together, these silicon strips can deliver power from the sun at the rate of 50 watts per square yard of surface. Bell Laboratories demonstrated that its solar battery could also be used to power the transmission of voices over the telephone wires and by radio Since nothing is comsumed or destroyed in the energy conversion process, and there are no moving parts to the device the solar battery should last indefinetly."
68,Chapin-86-301773,Physics,1954,Daryl Chapin,Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,"Sunlight is providing the power to turn this motor driven wheel at Bell Telephone Laboratories. The first successful device to convert useful amounts of the suns energy directly and efficiently into electricity the Bell solar battery is held by D M Chapin. An electrical engineer, he is one of a three member team of Laboratories scientists who invented the battery. Others are G.L. Pearson, physicist, and C.S. Fuller, chemist. Using strips of specially prepared silicon abut the size of common razor blades, Bell Laboratories had been able to achieve a six per cent efficiency, which compares favorably with the efficiency of steam and gasoline engines in contrast with other photoelectric devices which have never been rated higher than one per cent."
69,CPF-86-301771,Physics,1954,"Gerald Pearson, Calvin S. Fuller, Daryl Chaping",Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,"Inventors of the solar cell, Gerald L. Pearson, Daryl M. Chapin and Calvin S. Fuller, are shown at Bell Telephone Laboratories in a 1954 photo checking sample device for the sun in this demonstration. Their invention could deliver 50 watts of electricity per square yard of surface, achieving a conversion efficiency of six percent."
70,Fuller with glass,Physics,1954,Calvin S. Fuller,Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,Bell Telephone Laboratories chemist C.S. Fuller holds a tube used to prepare silicon for the Bell Solar battery. The battery is the invention of a three man team of Bell Laboratories scientists. It is the first successful device to convert the suns energy directly and efficiently into useful amounts of electricity. Strips of silicon are treated under gas at high temperatures to permit the intoduction of minute traces of impurities into the atomic structure at the surface of the silicon.
71,MH-lawn,Physics,1954,D.E. Thomas,Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,"Sunlight falling on a solar cell array powered a small radio transmitter in this Bell Labs demonstration in 1954 of the first silicon photovoltaic device. Engineer D.E. Thomas spoke into a microphone and his voice was transmitted across the lawn of Bell Labs at Murray Hill, demonstation showed that photovoltaic devices could be put to practical uses, such as powering complex electronic circuits."
72,Outside at Murray Hill,Physics,1955,D.F. Ciccolella,Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,"Efficiency of the bell solar battery has been practically doubled in the one year since its annoucement, the Bell Laboratories disclosed today. Its efficiency is now as high as 11 per cent. Here D.F. Ciccolella, Bell Laboratories engineer, compares the electrical output of the battery with the total energy availability from the sun, as measured by a pyrheliometer."
73,Pearson at desk,Physics,1954,G.L. Pearson,Solar Energy,Solar Battery,Murray Hill,Solar Cell,Sustainability,,"Physicist G.L. Pearson of Bell Laboratories, inventor with chemist C.S. Fuller and electrical engineer D.M. Chapin of a solar battery which represents the first successful effort to convert the suns energy directly and efficiently into useful amounts of electricity. Mr. Pearson is here checking the power devivered by one of the silicon strips. These strips, extremely sensative to light, can be electrically linked together to convert power from the sun at the rate of 50 watts per square yard of surface. A broad fundamental program at Bell Laboratories for studying silicon and its possible application in modern electronics led to the development of the solar battery."
74,Solar Sample,Physics,1954,,Solar Energy,Solar Battary,Murray Hill,Solar Cell,Sustainability,,"A wafer thin strip of specially prepared silicon the size of an ordinary razor blade can convert energy from the sun directly and efficiently into electrical power. Invented at Bell Laboratories the solar battery has a six per cent efficiency which compares favorably with the efficiency of steam and gasoline engines in contrast with other photoelectric devices which have never been rated higher than one per cent Silicon, obtained from common sand, is one electronic stability at higher temperatures than other semiconductors used in electronics. The solar battery, consisting team of Bell Laboratories scientists."
75,solar-battery-86-301766,Physics,1954,,Solar Energy,Solar Battary,Murray Hill,Solar Cell,Sustainability,,"A solar battery invented at Bell Telephone Laboratories is the first successful device to convert useful amounts of the suns energy directly and efficiently into electricity The battery composed of strips of specially prepared silicon, has used the suns rays to power the transmission of voices over telephone wires and to power a transistor radio transmitter. Although the solar battery is still in the experimental stage, the Bell System envisions its use in telephony, in such equipment at mobile radio telephone systems and as sun powered battery chargers for rural telephone systems. The Bell solar battery was invented by a three member team of Bell Laboratories scientists."
